"f <N> <-'en; de; -'s; de> 1. (letter) f 2. (muzieknoot) [G-muz] f, fa "
"f-sleutel <N> <-s; de> f-vqti, fa-vqti, bassivqti "
"fa <N> <-'s; de; mf> fa "
"faalangst <N> <-; de; m> lxbikukkumishirm, veategemiskartus, related equivalent lxbikukkumiskartus a. last hebben van faalangst b. faalangst overwinnen c. bevangen/overmand worden door faalangst "
"faam <N> <-; de; mf> kuulsus a. internationale faam genieten rahvusvaheliselt kuulus olema b. je faam waarmaken ootustele vastavalt tegutsema, [kellelegi] pandud ootusi qigustama c. te goeder naam en faam bekend staan hea nimega olema, [kellel] on hea kuulsus d. zijn faam was hem vooruitgesneld tema kuulsus oli juba temast ette jqudnud "
"fabel <N> <-s; de; mf; -en> vxljamqeldis, udujutt a. iets naar het rijk der fabelen verwijzen [formal] tqestama, et [mis] ei vasta tqele "
"fabelachtig 1 <A> <adv; -er/-st> 1. (fabuleus) muinasjutuline, imepxrane, uskumatu a. een fabelachtig geheugen imepxrane/fenomenaalne mxlu, uskumatult hea mxlu b. een fabelachtige kennis tohutud teadmised c. fabelachtige prijzen muinasjutulised hinnad "
"fabelachtig 2 <A> <nonadv; ncompar> 1. (als in fabels) muinasjutuline, imeline a. fabelachtige wezens imeelukad "
"fabeldier <N> <-en; het; n> myytiline loom/olend, mytoloogiline olend a. fabeldieren als draken en eenhoorns myytilised olendid, nxit. draakonid ja ykssarvikud b. een middeleeuws fabeldier keskaegse loomamuinasjutu tegelane "
"fabeltje <N> <-s; het; n> vxljamqeldis a. dat is een fabeltje see on sulaselge vxljamqeldis "
"fabricaat <N> <fabricaten; het; n> toode, produkt, fabrikaat a. van Nederlands fabricaat Hollandi toode, Hollandis toodetud "
"fabricage <N> <-; de; mf> tootmine a. de fabricage van auto's autode tootmine "
fabriceren <V> <h> 1. (op grote schaal maken) ~~ (masstootmise korras) (produceren) tootma, >> (slordig in elkaar draaien) vorpima, >> (verzinnen) fabritseerima a. auto's/bussen/vrachtwagens/motoren fabriceren << (masstootmise kxigus) autosid/busse/veoautosid/mootorrattaid tootma 2. (in elkaar zetten) >> (snel en slordig) vorpima 
"fabriek <N> <-en; de; mf> vabrik, tehas "
fabrieken <V> <h> [informal, jocular] ~~ (suvalisest materjalist) (met hard materiaal) kokku klopsima, ~~ (suvalisest materjalist) (van amorfe stof) kokku mxtserdana 
"fabrieksarbeider <N> <-s; de; m/f> vabrikutccline, tehasetccline "
"fabrieksdirecteur <N> <-en; de; m/f> vabrikudirektor, tehasedirektor "
"fabrieksfout <N> <-en; de; mf> tootmispraak, tootmisdefekt "
"fabrieksgebouw <N> <-en; het; n> vabrikuhoone, tehasehoone, related equivalent tccstushoone "
"fabrieksgeheim <N> <-en; het; n> tootmissaladus, firmasaladus a. het fabrieksgeheim bewaren tootmissaladust hoidma/pidama "
